,GO Primary Key,Council District,Highest NIBRS/UCR Offense Description,Clearance Status,GO Location Zip,Longitude,Latitude,Processing Time,month,weekday
90,"201,521,462",2,Burglary,N,78744,-97.75757861370909,30.173603538519387,12.000000000000002,1,4
91,"201,520,823",2,Burglary,N,78745,-97.79062269371364,30.191753268563584,14.0,1,4
92,"201,521,369",3,Burglary,N,78702,-97.71528277450977,30.2621453165668,11.000000000000002,1,4
93,"201,520,186",3,Burglary,N,78741,-97.71882004809649,30.23284385282196,12.000000000000002,1,4
94,"201,520,342",10,Burglary,N,78703,-97.76239324890128,30.30067426359149,4.0,1,4
96,"201,521,120",10,Burglary,N,78759,-97.75413098447706,30.41117930642325,62.0,1,4
97,"201,520,027",2,Burglary,N,78744,-97.73863654846504,30.20544099880993,27.0,1,4
98,"201,521,042",1,Burglary,N,78724,-97.65088461640758,30.302324894768947,11.000000000000002,1,4
99,"201,521,728",10,Burglary,N,78759,-97.75687654447229,30.37161574296673,34.0,1,4
100,"201,520,253",5,Burglary,N,78747,-97.79055815942812,30.154386585559486,46.00000000000001,1,4
101,"201,520,710",2,Burglary,N,78745,-97.79062269371364,30.191753268563584,19.0,1,4
102,"201,521,103",2,Burglary,N,78745,-97.78313100414549,30.188790712569503,12.000000000000002,1,4
103,"201,520,831",3,Burglary,N,78745,-97.76889190198132,30.20031885143365,18.0,1,4
104,"201,521,081",9,Burglary,N,78751,-97.72278913914832,30.314502897232853,12.000000000000002,1,4
105,"201,520,009",3,Burglary,N,78741,-97.72955242127844,30.239844806941772,20.0,1,4
106,"201,520,909",1,Burglary,N,78723,-97.6835528151732,30.314514734961897,12.000000000000002,1,4
107,"201,520,409",7,Burglary,N,78753,-97.68003601077585,30.379004526649148,12.000000000000002,1,4
108,"201,520,768",1,Burglary,C,78723,-97.68627402406223,30.309845807427486,12.000000000000002,1,4
109,"201,520,555",2,Burglary,C,78744,-97.75567887532516,30.20518837739465,4.0,1,4
110,"201,520,462",6,Burglary,N,78729,-97.77136565383344,30.43562027609708,20.0,1,4
111,"201,521,344",2,Burglary,N,78745,-97.78813791325508,30.206395974249304,40.0,1,4
112,"201,520,400",4,Auto Theft,N,78758,-97.70169298716878,30.367018953964035,4.0,1,4
113,"201,520,933",3,Auto Theft,C,78721,-97.67884840171983,30.26139014000784,82.0,1,4
114,"201,520,394",1,Auto Theft,N,78724,-97.6299715397502,30.280234319188644,4.0,1,4
115,"201,520,946",4,Auto Theft,N,78758,-97.71040995174408,30.377250111614536,68.0,1,4
116,"201,520,313",1,Auto Theft,N,78723,-97.67400764842778,30.31658614447321,141.0,1,4
117,"201,520,454",4,Auto Theft,C,78758,-97.69639139951164,30.37971857997684,2.0,1,4
118,"201,521,414",2,Agg Assault,C,78744,-97.73191211266732,30.197284607128463,12.000000000000002,1,4
119,"201,520,492",9,Agg Assault,O,78751,-97.73536358798764,30.307599192679092,4.0,1,4
120,"201,521,425",2,Agg Assault,N,78745,-97.78378824746665,30.209475040226817,10.0,1,4
121,"201,520,484",4,Agg Assault,C,78753,-97.6991627832403,30.342947992884632,13.0,1,4
122,"201,521,501",4,Agg Assault,C,78758,-97.7108688902018,30.376937701623827,5.0,1,4
123,"201,520,955",3,Agg Assault,C,78721,-97.6901921027462,30.271652496617588,4.0,1,4
124,"201,520,056",9,Theft,C,78701,-97.73901192702793,30.26727881369146,6.000000000000001,1,4
125,"201,520,863",3,Theft,C,78745,-97.75616358311086,30.21871043897189,5.0,1,4
126,"20,155,000,151",8,Theft,N,78749,-97.82798289572227,30.233933694110853,4.0,1,4
127,"201,521,100",8,Theft,C,78749,-97.82980120706728,30.215718402028198,4.0,1,4
128,"201,521,279",9,Theft,C,78703,-97.75407404526699,30.270514747972406,18.0,1,4
129,"20,158,000,010",8,Theft,N,78746,-97.80702334276222,30.257831878586234,4.0,1,4
130,"20,155,000,241",6,Theft,N,78726,-97.82590892344824,30.45459912951167,4.0,1,4
131,"201,521,163",9,Theft,C,78701,-97.73794592777836,30.26697669098496,3.0000000000000004,1,4
132,"20,155,000,114",1,Theft,N,78724,-97.64199723961052,30.328790000177822,10.0,1,4
133,"20,155,000,152",2,Theft,N,78744,-97.69337483075823,30.21633135961571,6.000000000000001,1,4
134,"20,155,000,131",3,Theft,N,78741,-97.71882004809649,30.23284385282196,5.0,1,4
135,"20,155,000,146",3,Theft,N,78741,-97.73157528906047,30.234599763183624,6.000000000000001,1,4
136,"20,155,000,237",9,Theft,N,78704,-97.7370180834012,30.247870551795984,6.000000000000001,1,4
137,"20,155,000,104",4,Theft,N,78758,-97.709647981162,30.375642064203,7.0,1,4
138,"20,155,000,153",7,Theft,N,78759,-97.74305867106956,30.40141255172772,3.0000000000000004,1,4
139,"20,155,000,125",3,Theft,N,78741,-97.71882004809649,30.23284385282196,6.000000000000001,1,4
140,"20,155,000,143",2,Theft,N,78745,-97.77743081018214,30.19650989697623,5.0,1,4
141,"20,155,000,123",5,Theft,N,78748,-97.80976467714459,30.14712923727164,11.000000000000002,1,4
142,"20,158,000,009",6,Theft,N,78729,-97.7705138399046,30.454762143241158,4.0,1,4
143,"20,155,000,167",3,Theft,N,78741,-97.74199603174685,30.22350715732157,6.000000000000001,1,4
144,"20,155,000,207",3,Theft,N,78741,-97.73960723721693,30.227312013225635,6.000000000000001,1,4
146,"20,155,000,188",10,Theft,N,78703,-97.77163207515804,30.289109856488658,34.0,1,4
147,"20,155,000,150",1,Theft,N,78723,-97.70189077042156,30.28548831643332,19.0,1,4
148,"20,155,000,244",6,Theft,N,78729,-97.78648561666836,30.444546219512205,4.0,1,4
149,"201,520,237",5,Theft,N,78745,-97.79692511197449,30.22821514834307,5.0,1,4
150,"20,155,000,103",3,Theft,N,78741,-97.70311766966049,30.228949661563977,5.0,1,4
152,"20,155,000,254",10,Theft,N,78759,-97.74828792280536,30.394419357986642,13.0,1,4
153,"20,155,000,223",3,Theft,N,78741,-97.7268722722737,30.23328574783295,5.0,1,4
154,"20,155,000,169",7,Theft,N,78759,-97.70637147896252,30.4173201900885,3.0000000000000004,1,4
155,"20,155,000,245",4,Theft,N,78752,-97.70828208080609,30.32781820786277,34.0,1,4
156,"20,155,000,248",3,Theft,N,78702,-97.70058845631668,30.253180583616942,35.0,1,4
157,"20,155,000,172",1,Theft,N,78724,-97.64199723961052,30.328790000177822,10.0,1,4
158,"20,155,000,105",3,Theft,N,78704,-97.76346334548352,30.232515194749674,4.0,1,4
159,"20,155,000,106",4,Theft,N,78753,-97.69703463907864,30.360135360636463,5.0,1,4
160,"20,155,000,156",4,Theft,N,78752,-97.69152365673344,30.333458808803968,7.0,1,4
161,"20,155,000,234",1,Theft,N,78723,-97.68936838107788,30.32024007795176,5.0,1,4
162,"20,155,000,100",3,Theft,N,78745,-97.77520424714376,30.204908861220197,0.0,1,4
163,"20,155,000,186",2,Theft,N,78719,-97.66715662281544,30.20209411715468,40.0,1,4
164,"201,520,654",9,Theft,C,78705,-97.74461913598174,30.29591322272853,2.0,1,4
165,"20,155,000,116",9,Theft,N,78705,-97.74277348342608,30.286505522165758,3.0000000000000004,1,4
166,"20,155,000,233",1,Theft,N,78723,-97.68208648528301,30.294156374780783,41.0,1,4
167,"20,155,000,109",5,Theft,N,78748,-97.82283812679924,30.17463325134152,0.0,1,4
168,"20,155,000,133",9,Theft,N,78705,-97.74521242485537,30.29789994841768,3.0000000000000004,1,4
169,"20,155,000,213",6,Theft,N,78726,-97.84418379403148,30.4199929586784,4.0,1,4
170,"20,155,000,170",2,Theft,N,78719,-97.66715662281544,30.20209411715468,41.0,1,4
172,"20,155,000,135",5,Theft,N,78748,-97.8064136919937,30.173630768519068,5.0,1,4
173,"20,155,000,179",7,Theft,N,78727,-97.70705510673035,30.42891876645031,4.0,1,4
174,"20,155,000,251",3,Theft,N,78741,-97.72263702123837,30.23576281120357,10.0,1,4
175,"201,521,251",4,Theft,O,78752,-97.70737869961916,30.328509302912163,3.0000000000000004,1,4
176,"20,155,000,224",7,Theft,N,78758,-97.72025213525045,30.39320507569061,4.0,1,4
177,"20,155,000,164",2,Theft,N,78617,-97.6178618174846,30.17020979545459,5.0,1,4
178,"20,155,000,102",3,Theft,N,78741,-97.73229145087028,30.233294147124454,62.0,1,4
179,"20,155,000,219",3,Theft,N,78741,-97.73039928955124,30.237923030523127,7.0,1,4
180,"20,155,000,130",3,Theft,N,78741,-97.73198325034949,30.232506792929627,96.00000000000001,1,4
181,"20,155,000,198",1,Theft,N,78724,-97.64671202691989,30.28859278202001,28.0,1,4
182,"20,155,000,118",7,Theft,N,78753,-97.6530476848896,30.394607589380282,38.0,1,4
183,"20,155,000,246",3,Theft,N,78721,-97.68973926393735,30.2641209011464,61.0,1,4
184,"201,521,069",4,Theft,N,78753,-97.7039288514485,30.350392051967216,54.0,1,4
185,"20,155,000,180",10,Theft,N,78759,-97.7523911102398,30.41168889313325,4.0,1,4
186,"20,155,000,196",3,Theft,N,78741,-97.71318751812586,30.23778114293749,62.0,1,4
187,"201,521,055",1,Theft,N,78702,-97.70971760681152,30.272579090459214,67.0,1,4
188,"20,155,000,200",1,Theft,N,78723,-97.66941636866278,30.30708724765014,24.000000000000004,1,4
189,"20,155,000,203",2,Theft,N,78747,-97.7398074515577,30.15227357688508,5.0,1,4
190,"20,155,000,175",10,Theft,N,78759,-97.75234072636299,30.40385213588461,4.0,1,4
191,"201,520,817",5,Theft,N,78748,-97.80033936999908,30.13752059386168,33.0,1,4
192,"201,521,554",1,Theft,N,78753,-97.6733779708968,30.376803844480648,4.0,1,4
193,"20,155,000,229",2,Theft,N,78744,-97.73935777907208,30.187779288463357,5.0,1,4
194,"20,155,000,144",7,Theft,N,78756,-97.74226574164987,30.32572614975129,3.0000000000000004,1,4
195,"201,520,357",3,Theft,O,78741,-97.72811980459858,30.228134993925696,62.0,1,4
196,"20,155,000,214",3,Theft,O,78741,-97.70616828668177,30.228580467006594,19.0,1,4
198,"201,530,504",3,Burglary,N,78741,-97.70281775123242,30.21472694443481,9.0,1,5
199,"201,530,459",4,Burglary,N,78758,-97.7171993356369,30.37019655009531,152.0,1,5
200,"201,521,668",3,Burglary,N,78741,-97.69743461355995,30.218541007603267,23.000000000000004,1,5
201,"201,530,966",2,Burglary,N,78745,-97.78927566491873,30.198302461686264,24.000000000000004,1,5
202,"201,531,405",7,Burglary,N,78727,-97.7096895662766,30.42086729360145,76.0,1,5
203,"201,531,319",4,Burglary,N,78758,-97.71176100305523,30.375159945510998,54.0,1,5
204,"201,530,571",6,Burglary,N,78717,-97.79654940691022,30.475969948831988,152.0,1,5
205,"201,530,167",3,Burglary,N,78704,-97.75879914348428,30.236387490374145,12.000000000000002,1,5
206,"201,530,944",3,Burglary,N,78741,-97.71882004809649,30.23284385282196,11.000000000000002,1,5
207,"201,531,128",10,Burglary,N,78759,-97.75598694101403,30.37131458563706,24.000000000000004,1,5
208,"201,530,831",2,Burglary,N,78744,-97.73813989813752,30.193989586362463,12.000000000000002,1,5
209,"201,530,755",7,Burglary,N,78758,-97.73045328124695,30.37659399159681,17.0,1,5
210,"201,531,374",1,Burglary,N,78702,-97.71674252556885,30.278894524271198,11.000000000000002,1,5
211,"201,531,266",6,Burglary,N,78750,-97.79633540431244,30.457087479231713,32.0,1,5
212,"201,530,751",10,Auto Theft,N,78731,-97.7546819918832,30.350484762220844,3.0000000000000004,1,5
213,"201,531,383",4,Auto Theft,N,78752,-97.70049615934387,30.33603618815497,3.0000000000000004,1,5
214,"201,521,204",4,Auto Theft,N,78752,-97.69322247738796,30.325952271962677,3.0000000000000004,1,5
215,"201,531,167",9,Auto Theft,N,78751,-97.71966470484988,30.300412415556146,24.000000000000004,1,5
216,"201,531,397",7,Auto Theft,N,78759,-97.74362954634172,30.399531832126065,3.0000000000000004,1,5
217,"201,530,463",5,Auto Theft,N,78745,-97.818970125808,30.21307220818873,3.0000000000000004,1,5
218,"201,530,770",4,Auto Theft,N,78758,-97.70549229783217,30.376233589159114,3.0000000000000004,1,5
219,"201,531,654",7,Auto Theft,N,78759,-97.74079861737013,30.38292303055139,3.0000000000000004,1,5
221,"201,531,430",2,Agg Assault,C,78617,-97.66720744104136,30.22251116051927,23.000000000000004,1,5
222,"201,530,529",9,Agg Assault,N,78704,-97.74497188710606,30.235842043376174,4.0,1,5
223,"201,531,171",3,Agg Assault,O,78741,-97.72772719930242,30.229304151628885,14.0,1,5
224,"201,530,793",2,Agg Assault,O,78745,-97.78969935559314,30.201812004370694,10.0,1,5
226,"201,531,205",9,Agg Assault,N,78751,-97.72298922525148,30.318825030226485,24.000000000000004,1,5
227,"201,531,284",4,Agg Assault,C,78753,-97.68551381266172,30.358462326850944,109.0,1,5
228,"201,530,880",2,Agg Assault,C,78744,-97.76764961734429,30.175084678400363,3.0000000000000004,1,5
229,"201,531,117",1,Agg Assault,N,78723,-97.66113738480637,30.30305612655837,38.0,1,5
230,"201,530,616",1,Theft,N,78723,-97.68477923530762,30.30055441399349,9.0,1,5
231,"201,530,998",8,Theft,N,78749,-97.82980120706728,30.215718402028198,32.0,1,5
232,"201,530,797",8,Theft,C,78746,-97.80702334276222,30.257831878586234,3.0000000000000004,1,5
233,"201,530,791",3,Theft,C,78704,-97.74890389537329,30.22230458131604,0.0,1,5
234,"20,158,000,016",2,Theft,N,78745,-97.7723106106448,30.19055769111342,9.0,1,5
235,"201,530,166",7,Theft,N,78758,-97.72614697409023,30.375838200717553,94.00000000000001,1,5
236,"201,531,138",9,Theft,C,78751,-97.71966470484988,30.300412415556146,4.0,1,5
237,"20,155,000,334",4,Theft,N,78723,-97.6929806393103,30.312313689541373,11.000000000000002,1,5
238,"201,531,332",6,Theft,C,78613,-97.80656165739056,30.4705044448466,3.0000000000000004,1,5
239,"201,531,023",3,Theft,C,78745,-97.75616358311086,30.21871043897189,3.0000000000000004,1,5
240,"201,531,427",6,Theft,C,78613,-97.80656165739056,30.4705044448466,3.0000000000000004,1,5
241,"20,155,000,341",9,Theft,N,78751,-97.72802129613055,30.301294887050094,12.000000000000002,1,5
242,"201,530,757",9,Theft,N,78704,-97.75020311953494,30.257092164750624,10.0,1,5
243,"20,155,000,284",5,Theft,N,78745,-97.78216584662559,30.21934931746439,4.0,1,5
244,"201,531,297",3,Theft,N,78702,-97.72799321172954,30.262415408701447,5.0,1,5
245,"201,530,448",9,Theft,N,78704,-97.75020311953494,30.257092164750624,4.0,1,5
246,"20,155,000,297",9,Theft,N,78705,-97.745031695536,30.28679317959061,33.0,1,5
247,"201,530,510",5,Theft,N,78745,-97.78199702911272,30.223102869708423,5.0,1,5
248,"20,155,000,279",9,Theft,N,78703,-97.75674183206283,30.296402278771428,6.000000000000001,1,5
249,"20,155,000,276",8,Theft,N,78746,-97.81030862347565,30.270080432379647,4.0,1,5
250,"20,158,000,018",10,Theft,N,78759,-97.747231871678,30.383638705419717,4.0,1,5
251,"20,155,000,270",2,Theft,N,78744,-97.7446748683379,30.196819942884087,5.0,1,5
252,"20,158,000,015",4,Theft,N,78758,-97.71176100305523,30.375159945510998,3.0000000000000004,1,5
253,"20,155,000,287",5,Theft,N,78704,-97.77977505515474,30.238028509606362,5.0,1,5
254,"201,530,403",1,Theft,N,78721,-97.67188020384184,30.28418373636925,10.0,1,5
255,"20,155,000,268",1,Theft,N,78754,-97.61807596083736,30.356023621262192,26.0,1,5
256,"20,155,000,326",3,Theft,N,78741,-97.73215723083617,30.236278285853988,5.0,1,5
257,"20,155,000,301",7,Theft,N,78753,-97.67184091281072,30.418473450072966,3.0000000000000004,1,5
258,"20,158,000,012",5,Theft,N,78704,-97.7803011889242,30.23765670418009,10.0,1,5
259,"201,530,887",4,Theft,N,78752,-97.70033535527331,30.334492678086306,10.0,1,5
260,"20,155,000,265",8,Theft,N,78749,-97.86574459465322,30.211839583839325,5.0,1,5
261,"20,155,000,272",2,Theft,N,78745,-97.78991167892643,30.19735524451199,4.0,1,5
262,"20,155,000,293",8,Theft,N,78749,-97.88705731979412,30.207776587706828,5.0,1,5
264,"20,155,000,308",4,Theft,N,78753,-97.68775261378953,30.37824527640439,3.0000000000000004,1,5
265,"20,155,000,281",5,Theft,N,78704,-97.77938688510523,30.23773473863941,3.0000000000000004,1,5
266,"20,155,000,257",7,Theft,N,78758,-97.72382497528014,30.402684042130765,93.00000000000001,1,5
267,"201,530,483",1,Theft,N,78724,-97.66087968551182,30.304120655657712,142.0,1,5
268,"20,155,000,303",3,Theft,N,78741,-97.72211542607523,30.233967207512073,9.0,1,5
269,"20,155,000,312",9,Theft,N,78701,-97.73763218043447,30.26792195269701,24.000000000000004,1,5
270,"201,530,195",7,Theft,C,78758,-97.72261176606379,30.38280722943431,4.0,1,5
271,"20,155,000,280",4,Theft,N,78753,-97.68686793278464,30.356386234018807,37.0,1,5
272,"201,531,105",6,Theft,N,78729,-97.79252367984323,30.46788139756649,4.0,1,5
273,"201,530,722",1,Theft,C,78702,-97.69858566250652,30.274099910675588,24.000000000000004,1,5
274,"20,155,000,313",8,Theft,N,78746,-97.80702334276222,30.257831878586234,3.0000000000000004,1,5
275,"201,530,204",6,Theft,C,78750,-97.81478786382435,30.462145582274804,0.0,1,5
276,"20,155,000,319",9,Theft,N,78722,-97.71527278243907,30.295462900967944,5.0,1,5
277,"20,155,000,320",4,Theft,N,78753,-97.71036800245192,30.349520032671453,51.0,1,5
